time , step-size , {controllerFMU}.controller.fanSpeed , {controllerFMU}.controller.valveOpen , {environmentFMU}.env.OAT_OUT , {environmentFMU}.env.RAT_OUT , {roomFMU}.room.RAT , {wallFMU}.wall.Tisurf
77.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 29.116356164971634 , 15.551255569916796
78.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 29.22732515571513 , 15.54546940109296
79.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 29.33699622340364 , 15.539684342832274
80.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 29.44538450544288 , 15.533900396651218
81.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 29.552504962703647 , 15.528117564062773
82.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 29.658372381580655 , 15.522335846576413
83.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 29.76300137602707 , 15.51655524569822
84.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 29.86640638956599 , 15.510775762930662
85.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 29.968601697277467 , 15.504997399772856
86.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 30.069601407763244 , 15.499220157720305
87.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 30.16941946508827 , 15.49344403826521
88.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 30.26806965069982 , 15.487669042896341
89.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 30.3655655853236 , 15.481895173098728
90.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 30.46192073083808 , 15.476122430354284
91.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 30.557148392126994 , 15.470350816141307
92.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 30.651261718910728 , 15.464580331934766
93.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 30.744273707555383 , 15.458810979206126
94.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 30.836197202861005 , 15.453042759423429
95.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 30.927044899829983 , 15.447275674051369
96.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 31.01682934541387 , 15.441509724551189
97.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 31.10556294023878 , 15.435744912380677
98.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 31.193257940313647 , 15.429981238994294
99.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 31.27992645871558 , 15.424218705843074
100.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 31.365580467256958 , 15.418457314374729
101.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 31.45023179813367 , 15.412697066033417
102.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 31.533892145551818 , 15.406937962260052
103.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 31.616573067338635 , 15.40118000449221
104.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 31.698285986531598 , 15.395423194163943
105.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 31.779042192951433 , 15.389667532706111
106.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 31.8588528447553 , 15.38391302154613
107.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 31.937728969972152 , 15.37815966210802
108.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 32.01568146802048 , 15.372407455812517
109.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 32.09272111120812 , 15.366656404077014
110.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 32.16885854621444 , 15.360906508315626
111.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 32.24410429555595 , 15.355157769939035
112.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 32.31846875903381 , 15.349410190354613
113.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 32.39196221516539 , 15.343663770966456
114.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 32.464594822598706 , 15.337918513175287
115.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 32.53637662150999 , 15.332174418378573
116.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 32.607317534985334 , 15.326431487970465
117.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 32.67742737038637 , 15.320689723341799
118.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 32.74671582070003 , 15.314949125880096
119.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 32.81519246587267 , 15.309209696969681
120.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 32.88286677412749 , 15.303471437991517
121.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 32.94974810326814 , 15.297734350323239
122.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 33.015845701966015 , 15.291998435339343
123.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 33.08116871103397 , 15.286263694410968
124.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 33.145726164682344 , 15.280530128906028
125.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 33.20952699176466 , 15.274797740189099
126.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 33.272580017003335 , 15.269066529621629
127.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 33.33489396220763 , 15.263336498561765
128.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 33.39647744747016 , 15.257607648364406
129.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 33.4573389923556 , 15.251879980381178
