time,step-size,{controllerFMU}.controller.fanSpeed,{controllerFMU}.controller.valveOpen,{environmentFMU}.env.OAT_OUT,{environmentFMU}.env.RAT_OUT,{roomheatingFMU}.room.RAT
196.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.989185786463093
197.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.989076746070426
198.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.988967178553949
199.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.988857084216098
200.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.98874646335942
201.0,1.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.988635316286572
202.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.988523643300331
203.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.988411444703578
204.0,1.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.988298720799307
205.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.988185471890622
206.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.98807169828074
207.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.98795740027298
208.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.987842578170776
209.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.987727232277663
210.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.987611362897287
211.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.987494970333398
212.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.98737805488985
213.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.987260616870605
214.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.987142656579726
215.0,1.0,1.0E-7,1.0E-7,6.110219999998888,0.0,15.987024174321379
216.0,1.0,1.0E-7,1.0E-7,6.132219999998867,0.0,15.986905170399833
217.0,1.0,1.0E-7,1.0E-7,6.154219999998848,0.0,15.98678564511946
218.0,1.0,1.0E-7,1.0E-7,6.176219999998827,0.0,15.986665598784757
219.0,1.0,1.0E-7,1.0E-7,6.198219999998807,0.0,15.986545031702992
220.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.98642394418419
221.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.986302336541135
222.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.986180209089348
223.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.986057562147069
224.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.985934396032599
225.0,1.0,1.0E-7,1.0E-7,6.219780000001312,0.0,15.9858107110643
226.0,1.0,1.0E-7,1.0E-7,6.197780000001332,0.0,15.9856865075606
227.0,1.0,1.0E-7,1.0E-7,6.175780000001353,0.0,15.985561785839986
228.0,1.0,1.0E-7,1.0E-7,6.1537800000013725,0.0,15.985436546220981
229.0,1.0,1.0E-7,1.0E-7,6.131780000001393,0.0,15.9853107890195
230.0,1.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.985184514548859
231.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.985057723119777
232.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.984930415040385
233.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.984802590616258
234.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.984674250153063
235.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.984545393956553
236.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.984416022332576
237.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.984286135587066
238.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.984155734026047
239.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.984024817955627
240.0,1.0,1.0E-7,1.0E-7,6.110219999998388,0.0,15.983893387682002
241.0,1.0,1.0E-7,1.0E-7,6.132219999998367,0.0,15.983761443511458
242.0,1.0,1.0E-7,1.0E-7,6.154219999998347,0.0,15.983628985750363
243.0,1.0,1.0E-7,1.0E-7,6.176219999998327,0.0,15.983496014705196
244.0,1.0,1.0E-7,1.0E-7,6.198219999998306,0.0,15.983362530685191
