time,step-size,{controllerFMU}.controller.fanSpeed,{controllerFMU}.controller.valveOpen,{environmentFMU}.env.OAT_OUT,{environmentFMU}.env.RAT_OUT,{roomheatingFMU}.room.RAT
139.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.72049671499527
140.0,1.0,1.0E-7,1.0E-7,6.110000000000001,0.0,15.71838894631344
141.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.716280280512285
142.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.714170719736765
143.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.712060266129162
144.0,1.0,1.0E-7,1.0E-7,6.110000000000001,0.0,15.70994892182908
145.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.707836688973378
146.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.705723569696232
147.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.703609566129131
148.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.70149468040086
149.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.69937891463751
150.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.697262270962478
151.0,1.0,1.0E-7,1.0E-7,6.110000000000001,0.0,15.695144751496537
152.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.693026358357704
153.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.69090709366133
154.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.68878695952013
155.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.686665958044092
156.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.684544091340566
157.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.68242136151427
158.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.680297770667199
159.0,1.0,1.0E-7,1.0E-7,6.110000000000001,0.0,15.678173320898678
160.0,1.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.676048014305469
161.0,1.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.673921852981643
162.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.671794839018503
163.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.669666974504787
164.0,1.0,1.0E-7,1.0E-7,6.110000000000001,0.0,15.667538261526634
165.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.665408702167495
166.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.663278298508148
167.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.661147052626882
168.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.659014966599155
169.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.656882042497891
170.0,1.0,1.0E-7,1.0E-7,6.110219999999789,0.0,15.654748282393339
171.0,1.0,1.0E-7,1.0E-7,6.1322199999997675,0.0,15.652613688359848
172.0,1.0,1.0E-7,1.0E-7,6.154219999999748,0.0,15.650478263151122
173.0,1.0,1.0E-7,1.0E-7,6.176219999999728,0.0,15.648342012258645
174.0,1.0,1.0E-7,1.0E-7,6.198219999999708,0.0,15.646204943341232
175.0,1.0,1.0E-7,1.0E-7,6.219780000000312,0.0,15.644067065367919
176.0,1.0,1.0E-7,1.0E-7,6.197780000000332,0.0,15.641928388084116
177.0,1.0,1.0E-7,1.0E-7,6.175780000000352,0.0,15.639788920344841
178.0,1.0,1.0E-7,1.0E-7,6.153780000000372,0.0,15.637648665805713
179.0,1.0,1.0E-7,1.0E-7,6.131780000000393,0.0,15.635507623947438
180.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.633365791719267
181.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.631223164543641
182.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.629079737597662
183.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.62693550823992
184.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.624790475663303
185.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.622644640173823
186.0,1.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.62049800275249
187.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.618350564789592
188.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.616202327921714
189.0,1.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.614053293935706
